17-Mile Drive,"['sea creature', 'animals', 'restaurant & food', 'bridge', 'wines', 'ocean view', 'natural view', 'rock climbing ', 'biking', 'beach', 'surfing', 'highly recommended', 'architecture', 'good for pictures', 'parks', 'golf']","[('sea creature', 'tide pools'), ('animals', 'tide pools'), ('restaurant & food', 'picnic lunch'), ('bridge', 'bixby bridge'), ('wines', 'wine tasting'), ('ocean view', 'pacific grove'), ('natural view', 'cypress tree'), ('rock climbing ', 'rock formations'), ('biking', 'ride bikes'), ('beach', 'sandy beaches'), ('surfing', 'watching waves'), ('restaurant & food', 'food drinks'), ('surfing', 'crashing waves'), ('highly recommended', 'highly recommend'), ('architecture', 'architectural details'), ('good for pictures', 'photo shots'), ('natural view', 'pine trees'), ('good for pictures', 'picture taking'), ('ocean view', 'pacific ocean'), ('natural view', 'state parks'), ('parks', 'state parks'), ('sea creature', 'sea lions'), ('animals', 'sea lions'), ('golf', 'golf course'), ('parks', 'national park'), ('natural view', 'national park')]"
AT&T Park,"['shopping', 'restaurant & food', 'exhibitions', 'bridge', 'ocean view', 'highly recommended', 'architecture']","[('shopping', 'shopping district'), ('restaurant & food', 'restaurants nearby'), ('exhibitions', 'american culture'), ('bridge', 'bay bridge'), ('restaurant & food', 'hot dog'), ('shopping', 'ghirardelli chocolate'), ('ocean view', 'pacific ocean'), ('restaurant & food', 'food trucks'), ('highly recommended', 'highly recommend'), ('architecture', 'architectural design'), ('ocean view', 'pacific ocean'), ('restaurant & food', 'hot fudge')]"
Alamo Square,"['restaurant & food', 'bridge', 'shopping', 'ocean view', 'natural view', 'car rental', 'highly recommended', 'architecture', 'good for pictures']","[('restaurant & food', 'coffee shop'), ('bridge', 'gate bridge'), ('shopping', 'coffee shop'), ('ocean view', 'pacific ocean'), ('natural view', 'tall trees'), ('car rental', 'car rental'), ('highly recommended', 'highly recommend'), ('architecture', 'victorian style'), ('good for pictures', 'photo op'), ('natural view', 'pine trees'), ('good for pictures', 'picture taking'), ('ocean view', 'pacific ocean')]"
Alcatraz Island,"['exhibitions', 'bridge', 'shopping', 'ocean view', 'highly recommended', 'historical site', 'parks', 'natural view']","[('exhibitions', 'american culture'), ('bridge', 'bay bridge'), ('shopping', 'souvenir shops'), ('ocean view', 'east coast'), ('highly recommended', 'highly recommend'), ('historical site', 'historical site'), ('historical site', 'history buff'), ('parks', 'national park'), ('natural view', 'national park')]"
Angel Stadium of Anaheim,"['restaurant & food', 'exhibitions', 'shopping', 'ocean view', 'rock climbing ', 'concert', 'highly recommended', 'good for pictures', 'parks']","[('restaurant & food', 'souvenir stores'), ('exhibitions', 'american culture'), ('restaurant & food', 'hot dog'), ('shopping', 'vendors selling'), ('ocean view', 'west coast'), ('rock climbing ', 'rock formation'), ('concert', 'concert venue'), ('restaurant & food', 'junk food'), ('highly recommended', 'highly recommend'), ('good for pictures', 'taking pictures'), ('parks', 'ball park')]"
Aquarium of the Bay,"['sea creature', 'animals', 'restaurant & food', 'exhibitions', 'shopping', 'museum', 'highly recommended', 'whale watching', 'natural view']","[('sea creature', 'otters sea'), ('animals', 'otters sea'), ('restaurant & food', 'souvenir shop'), ('exhibitions', 'interactive exhibits'), ('shopping', 'souvenir shop'), ('animals', 'rays sharks'), ('museum', 'science museum'), ('animals', 'touch tank'), ('highly recommended', 'highly recommend'), ('whale watching', 'whale watching'), ('sea creature', 'whale watching'), ('animals', 'whale watching'), ('exhibitions', 'interactive exhibits'), ('natural view', 'kelp forest'), ('sea creature', 'sea lions'), ('animals', 'sea lions')]"
Aquarium of the Pacific,"['sea creature', 'animals', 'restaurant & food', 'exhibitions', 'shopping', 'ocean view', 'peaceful serene', 'highly recommended', 'music', 'whale watching', 'amusement park', 'performance', 'cruise', 'natural view']","[('sea creature', 'sea horses'), ('animals', 'sea horses'), ('restaurant & food', 'souvenir shop'), ('restaurant & food', 'hotels restaurants'), ('restaurant & food', 'snack bar'), ('exhibitions', 'interactive exhibits'), ('shopping', 'restaurants bars'), ('ocean view', 'east coast'), ('animals', 'rays sharks'), ('animals', 'lion show'), ('restaurant & food', 'food trucks'), ('peaceful serene', 'peaceful serene'), ('highly recommended', 'highly recommend'), ('music', 'music playing'), ('whale watching', 'whale watch'), ('sea creature', 'whale watch'), ('animals', 'whale watch'), ('exhibitions', 'interactive displays'), ('amusement park', 'theme parks'), ('performance', 'live music'), ('cruise', 'harbor cruise'), ('natural view', 'kelp forest'), ('sea creature', 'seals sea'), ('animals', 'seals sea'), ('restaurant & food', 'fish tacos'), ('restaurant & food', 'fish tacos')]"
Armstrong Redwood State Reserve,"['restaurant & food', 'exhibitions', 'wines', 'ocean view', 'natural view', 'biking', 'peaceful serene', 'highly recommended', 'good for pictures', 'parks', 'water fountain', 'animals']","[('restaurant & food', 'ate lunch'), ('exhibitions', 'star wars'), ('wines', 'wine tasting'), ('ocean view', 'pacific coast'), ('natural view', 'giant redwoods'), ('biking', 'ride bikes'), ('restaurant & food', 'ate lunch'), ('peaceful serene', 'quiet serene'), ('highly recommended', 'highly recommend'), ('good for pictures', 'picture opportunities'), ('ocean view', 'pacific ocean'), ('natural view', 'national parks'), ('parks', 'national parks'), ('water fountain', 'water fountain'), ('natural view', 'giant redwoods'), ('animals', 'natural environment')]"
Artist's Drive,"['exhibitions', 'shopping', 'rock climbing ', 'car rental', 'highly recommended', 'good for pictures', 'amusement park', 'golf', 'parks', 'natural view']","[('exhibitions', 'star wars'), ('shopping', 'ice cream'), ('rock climbing ', 'rock formations'), ('car rental', 'hire car'), ('highly recommended', 'highly recommend'), ('good for pictures', 'photo opportunities'), ('good for pictures', 'picture taking'), ('amusement park', 'roller coaster'), ('golf', 'golf course'), ('parks', 'national park'), ('natural view', 'national park')]"
Asian Art Museum,"['restaurant & food', 'exhibitions', 'ocean view', 'museum', 'highly recommended', 'architecture', 'natural view', 'gardens', 'performance', 'historical site']","[('restaurant & food', 'lunch snack'), ('exhibitions', 'temporary exhibits'), ('ocean view', 'west coast'), ('museum', 'norton simon'), ('restaurant & food', 'food vendors'), ('highly recommended', 'highly recommend'), ('architecture', 'interior design'), ('natural view', 'palm trees'), ('gardens', 'japanese chinese'), ('performance', 'live performances'), ('historical site', 'history buffs')]"
